px,pz,start_speed,end_speed,spin_rate,spin_dir,break_angle,break_length,break_y,ax,ay,az,sz_bot,sz_top,type_confidence,vx0,vy0,vz0,x,x0,y,y0,z0,pfx_x,pfx_z,nasty,zone,code,type,pitch_type,event_num,b_score,ab_id,b_count,s_count,outs,pitch_num,on_1b,on_2b,on_3b
0.416,2.963,92.9,84.1,2305.052,159.235,-25.0,3.2,23.7,7.665,34.685,-11.96,1.72,3.56,2.0,-6.409,-136.065,-3.995,101.14,2.28,158.78,50.0,5.3020000000000005,4.16,10.93,55,3,C,S,FF,3,0.0,2015000001.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.191,2.347,92.8,84.1,2689.935,151.40200000000004,-40.7,3.4,23.7,12.043,34.225,-10.085,1.72,3.56,2.0,-8.411,-135.69,-5.98,124.28,2.119,175.41,50.0,5.307,6.57,12.0,31,5,S,S,FF,4,0.0,2015000001.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
-0.518,3.284,94.1,85.2,2647.972,145.125,-43.7,3.7,23.7,14.368,35.276,-11.56,1.72,3.56,2.0,-9.802,-137.668,-3.337,136.74,2.127,150.11,50.0,5.313,7.61,10.88,49,1,F,S,FF,5,0.0,2015000001.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0
-0.6409999999999999,1.221,91.0,84.0,1289.59,169.75099999999995,-1.3,5.0,23.8,2.104,28.354,-20.54,1.74,3.35,2.0,-8.071,-133.005,-6.567,109.68563599417065,2.279,187.46348190644315,50.0,5.21,1.17,6.45,41,13,B,B,FF,6,0.0,2015000001.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0
-1.821,2.083,75.4,69.6,1374.569,280.671,18.4,12.0,23.8,-10.28,21.774,-34.111,1.72,3.56,2.0,-6.309,-110.409,0.325,146.5275251955089,2.1790000000000003,177.2428287731686,50.0,5.557,-8.43,-1.65,18,13,B,B,CU,7,0.0,2015000001.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0
0.627,2.397,92.9,84.8,2743.856,148.11,-45.7,3.7,23.7,13.59,32.274,-10.333,1.72,3.56,2.0,-6.943,-136.012,-5.738,118.00477226544056,2.273,164.46701235657548,50.0,5.2639999999999985,7.32,11.72,42,6,X,X,FF,8,0.0,2015000001.0,2.0,2.0,0.0,6.0,0.0,0.0,0.0
-1.088,1.61,93.3,85.3,2848.535,147.04399999999995,-46.3,3.6,23.7,14.549,31.469,-9.734,1.59,3.45,2.0,-11.032,-136.208,-7.762,141.43,2.013,205.81,50.0,5.1789999999999985,7.79,11.97,80,13,B,B,FF,12,0.0,2015000002.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
-0.257,2.047,89.3,82.4,1433.743,185.948,7.3,4.8,23.8,-1.339,27.421,-19.326,1.59,3.45,0.778,-6.335,-130.711,-4.6110000000000015,186.41,2.298,182.54,50.0,5.284,-0.77,7.38,39,7,D,X,FC,13,0.0,2015000002.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0
1.47,2.35,92.1,85.0,2666.09,146.14600000000004,-45.0,4.0,23.8,13.808,28.169,-11.591,1.89,3.46,2.0,-5.075,-134.873,-5.723,93.1,2.402,174.06,50.0,5.31,7.46,11.09,42,14,B,B,FF,17,0.0,2015000003.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
-1.337,1.898,89.3,82.0,1384.1429999999998,174.388,2.0,4.9,23.8,1.218,28.828000000000007,-19.782,1.81,3.52,0.648,-9.239,-130.512,-4.904,135.83149284673328,2.165,182.99194616063545,50.0,5.3020000000000005,0.71,7.18,34,13,B,B,FF,18,0.0,2015000003.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0
-0.28600000000000003,1.83,92.6,84.4,2475.323,137.145,-39.0,4.8,23.7,15.709,32.602,-15.243,1.95,3.52,2.0,-9.247,-135.366,-6.13,116.81632422668771,2.08,165.74459399823485,50.0,5.211,8.56,9.19,48,13,E,X,FF,19,0.0,2015000003.0,2.0,0.0,1.0,3.0,0.0,1.0,0.0
0.2,2.643,90.5,83.7,2186.173,119.214,-34.4,6.3,23.8,17.410999999999998,26.452,-22.438,1.73,3.68,2.0,-8.704,-132.38,-2.685,109.38,2.253,167.42,50.0,5.301,9.74,5.41,40,5,F,S,SI,25,1.0,2015000004.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
-0.741,2.93,90.6,83.0,2234.961,154.197,-25.5,3.7,23.8,8.889,29.431,-13.79,1.73,3.68,2.0,-8.801,-132.554,-3.666,145.25,1.977,159.67,50.0,5.343,5.02,10.33,49,11,F,S,FF,26,1.0,2015000004.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0
-0.711,1.971,76.3,71.2,818.89,283.898,11.6,11.0,23.9,-6.127000000000002,19.641,-33.69,1.73,3.68,2.0,-5.266,-111.822,-0.053,144.1,2.299,185.56,50.0,5.443,-4.83,-1.25,45,13,S,S,CU,27,1.0,2015000004.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0
-1.539,1.525,91.6,84.5,2248.792,154.85299999999995,-23.8,3.6,23.8,8.804,27.829,-13.421,1.68,3.57,2.0,-11.143,-133.65200000000002,-7.151,175.66,2.047,197.61,50.0,5.192,4.85,10.29,55,13,B,B,FF,31,1.0,2015000005.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0
-0.8809999999999999,1.888,93.1,85.3,2697.793,151.814,-40.0,3.3,23.8,11.942,30.614,-9.89,1.68,3.57,2.0,-10.439,-135.959,-7.183,150.58,2.182,187.8,50.0,5.255,6.4,11.9,62,13,F,S,FF,32,1.0,2015000005.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0
0.096,2.794,91.1,83.8,2214.735,148.444,-30.3,4.1,23.8,10.656,28.744,-14.824000000000002,1.68,3.57,2.0,-7.273,-133.377,-3.73,113.34,2.089,163.34,50.0,5.28,5.92,9.59,25,5,F,S,FF,33,1.0,2015000005.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0
-0.365,1.518,92.4,84.6,2439.131,140.72899999999998,-37.2,4.5,23.8,14.373,30.975,-14.595999999999998,1.68,3.57,2.0,-9.375,-135.055,-7.1789999999999985,130.91,2.144,197.79,50.0,5.247999999999998,7.83,9.53,51,13,F,S,FF,34,1.0,2015000005.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0
-1.681,0.875,89.3,82.9,1000.504,187.948,7.0,5.8,23.8,-1.244,26.386,-23.266,1.68,3.57,0.763,-9.531,-130.424,-6.624,181.08,2.108,215.16,50.0,5.192,-0.72,5.11,27,13,S,S,FC,35,1.0,2015000005.0,1.0,2.0,2.0,5.0,1.0,0.0,0.0
-1.585,1.72,89.5,82.2,2357.29,230.354,38.0,6.0,23.8,-16.39,29.322,-18.593,1.69,3.63,2.0,2.889,-131.001,-7.351,177.42,-1.474,192.34,50.0,5.9670000000000005,-9.49,7.82,48,13,B,B,SI,41,0.0,2015000006.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.008,2.602,87.5,80.7,1307.695,167.03599999999997,-8.1,5.4,23.8,2.592,26.888,-20.916,1.69,3.97,2.0,2.704,-128.166,-4.912,116.7,-1.264,168.53,50.0,6.18,1.56,6.73,18,5,D,X,FC,42,0.0,2015000006.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
0.015,2.287,91.6,84.0,2067.215,203.022,21.7,3.9,23.8,-7.473,30.553,-14.589,1.61,3.59,2.0,4.558,-134.094,-7.332999999999998,116.43,-1.175,177.03,50.0,6.109,-4.13,9.67,41,5,F,S,FF,46,0.0,2015000007.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.703,0.22,76.1,69.8,1844.187,38.345,-12.2,15.1,23.8,8.791,26.299,-43.287,1.61,3.46,2.0,4.3660000000000005,-111.47,-3.2880000000000003,52.09,-1.243,232.84,50.0,6.332999999999998,7.23,-9.2,12,14,*B,B,CU,47,0.0,2015000007.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0
0.687,1.97,87.2,81.2,1084.687,164.325,-7.8,5.9,23.9,2.58,24.596,-22.981,1.61,3.59,2.0,4.243,-127.708,-6.167000000000002,90.81,-1.193,185.59,50.0,6.206,1.55,5.48,49,9,S,S,FC,49,0.0,2015000007.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0
0.7879999999999999,1.808,89.3,83.3,1645.645,175.253,-6.2,4.4,23.9,1.227,24.591,-17.403,1.61,3.59,0.821,4.729,-130.668,-7.771,86.96,-1.128,189.96,50.0,6.102,0.7,8.4,57,14,X,X,FC,50,0.0,2015000007.0,1.0,2.0,0.0,4.0,0.0,1.0,0.0
0.807,-0.489,76.5,70.2,1883.009,41.996,-12.8,15.0,23.8,9.728,26.916,-42.979,1.83,3.68,2.0,1.887,-112.017,-5.046,86.24,-1.084,0.0,50.0,6.355,7.94,-8.88,84,14,*B,B,CU,55,0.0,2015000008.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
-0.17,3.196,88.0,81.8,1379.187,154.203,-14.5,5.4,23.8,5.336,24.742,-21.135,1.66,3.59,2.0,1.834,-128.975,-3.696,123.48,-1.297,152.49,50.0,6.2620000000000005,3.14,6.46,31,2,S,S,FC,56,0.0,2015000008.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0
0.815,2.319,91.8,83.7,2087.685,182.419,-1.3,3.3,23.7,-0.816,32.19,-12.872,1.83,3.74,2.0,4.934,-134.254,-7.747000000000001,85.93,-0.997,176.17,50.0,6.181,-0.45,10.66,52,14,C,S,FF,57,0.0,2015000008.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0
0.937,-0.95,77.6,71.2,1808.845,31.343000000000004,-9.7,15.0,23.8,7.366,27.943,-44.268,1.77,3.54,2.0,2.753,-113.575,-6.049,81.28,-1.0659999999999998,0.0,50.0,6.332000000000002,5.86,-9.67,38,14,*B,B,CU,58,0.0,2015000008.0,1.0,2.0,1.0,4.0,0.0,0.0,1.0
